cohort,method,horizon,hours,coverage_50,coverage_80,coverage_90,coverage_95,error_ordering
aki,categorical_rssm,1.0,4.0,0.6148149540439448,0.8487491306881191,0.9151676910449913,0.94767212375242,0.37093248798205525
aki,categorical_rssm,2.0,8.0,0.5166099027272493,0.7734344763526589,0.859502799494285,0.905539644451325,0.35496280219981546
aki,categorical_rssm,3.0,12.0,0.4580002076627556,0.7187623299761188,0.8164192018828089,0.8727650295919428,0.32954451912297483
aki,categorical_rssm,4.0,16.0,0.4232505382069029,0.6880329019961882,0.7883978795805459,0.8495644189294506,0.30038472888043993
aki,categorical_rssm,5.0,20.0,0.38326479423688276,0.6421311284160177,0.7473021845014145,0.8128226441508444,0.2929272966837022
aki,categorical_rssm,6.0,24.0,0.3598045747279592,0.6145162484269746,0.7224813087571249,0.7911022281442003,0.28567507910876194
aki,categorical_rssm,7.0,28.0,0.34463986599664986,0.5953116275823561,0.7071032244556115,0.7797668900055834,0.25349646390020253
aki,categorical_rssm,8.0,32.0,0.32507076532366863,0.5655317760553071,0.6766223115790587,0.7519995061859034,0.2561534795403764
aki,categorical_rssm,9.0,36.0,0.3096058927696771,0.541172148750989,0.6510493199201236,0.7280151463773031,0.24575217243816386
aki,categorical_rssm,10.0,40.0,0.3017875260179694,0.5309862248580125,0.6391895990879329,0.7163387618061439,0.23823807304486008
aki,causal_transformer,1.0,4.0,0.5983685130537751,0.8520008270210327,0.919052183774098,0.9513498612233646,0.4100793631632287
aki,causal_transformer,2.0,8.0,0.622287586758521,0.8614701860309105,0.9241298346105221,0.9544985421988286,0.2566741337004083
aki,causal_transformer,3.0,12.0,0.5352022981344963,0.7838092271484443,0.8676703699858098,0.9145675423112865,0.21305088218723237
aki,causal_transformer,4.0,16.0,0.44862921209595896,0.6998078659228223,0.7967699869595747,0.8586309868283988,0.1995565687939502
aki,causal_transformer,5.0,20.0,0.39662991804473996,0.6431227578965789,0.7417388514597368,0.8093227753959226,0.20634314946676754
aki,causal_transformer,6.0,24.0,0.3513435487452809,0.5782589384854541,0.6795321637426901,0.7475534828632764,0.2136208115238806
aki,causal_transformer,7.0,28.0,0.2946154383026242,0.49401521496370737,0.5936016890005583,0.6633863763260749,0.1662350678500993
aki,causal_transformer,8.0,32.0,0.2683879615177729,0.46026119238468116,0.5543504140102113,0.6247541952152941,0.19022156007464944
aki,causal_transformer,9.0,36.0,0.23831995780113782,0.4216401039900531,0.5078746090953619,0.5756753701819826,0.1850318886848433
aki,causal_transformer,10.0,40.0,0.2086039725124729,0.379585176817597,0.45844969510600686,0.5226813936218059,0.15429151424072654
aki,hgb_residual,1.0,4.0,0.5811890306937578,0.8193522921639758,0.8881078134691652,0.9240644324568164,0.2678411260806522
aki,hgb_residual,2.0,8.0,0.511533400417989,0.7797236628221998,0.8620055731867792,0.9064749593621796,0.2096079135695933
aki,hgb_residual,3.0,12.0,0.4702938427992939,0.7375558093655903,0.8283044335998339,0.8792025750181705,0.1482223030102503
aki,hgb_residual,4.0,16.0,0.4499872682238015,0.71508599736105,0.8091159517581425,0.8644644551957221,0.1243838413757159
aki,hgb_residual,5.0,20.0,0.4214716948114446,0.6813369498643801,0.7777364598827544,0.8339312275789658,0.0855729649944881
aki,hgb_residual,6.0,24.0,0.4153675327559404,0.6681767710415278,0.7650233177881413,0.8199422607150788,0.0682463019471868
aki,hgb_residual,7.0,28.0,0.4086840452261306,0.6593645309882747,0.7582705192629816,0.8157192211055276,0.0485829571545647
aki,hgb_residual,8.0,32.0,0.3975820745482923,0.6409089706621518,0.7443982963413667,0.801142826909341,0.0271763198539428
aki,hgb_residual,9.0,36.0,0.3856391997287216,0.6262857465807619,0.7290041822086583,0.7873855544252288,0.0140254478879547
aki,hgb_residual,10.0,40.0,0.3835702406727541,0.6264081081929147,0.7271957074272805,0.7875050989990273,0.0082878013497558
aki,matched_gaussian_ensemble,1.0,4.0,0.5933499990602034,0.859011709865985,0.924515534838261,0.9556415991579422,0.3998742547952644
aki,matched_gaussian_ensemble,2.0,8.0,0.5631821348401579,0.8453247155352581,0.9191500890161776,0.9535374254973296,0.3232184551933764
aki,matched_gaussian_ensemble,3.0,12.0,0.4853493925864396,0.7747897414598691,0.8663274841657149,0.9162288443567648,0.238435281744748
aki,matched_gaussian_ensemble,4.0,16.0,0.4376027222852381,0.7180953262807009,0.8191161832449825,0.8796268432139633,0.1853570046311547
aki,matched_gaussian_ensemble,5.0,20.0,0.4165062560153994,0.6892335287426722,0.7921296701373699,0.8550616851868055,0.1754573263423948
aki,matched_gaussian_ensemble,6.0,24.0,0.3983566511214745,0.6677992449478126,0.7679769042860315,0.8346213635354208,0.1577955689880193
aki,matched_gaussian_ensemble,7.0,28.0,0.3779836683417085,0.6410699329983249,0.741232202680067,0.8091499162479062,0.0964311533090058
aki,matched_gaussian_ensemble,8.0,32.0,0.3708367503505198,0.6426549562180894,0.741065051189122,0.8086029470119838,0.1074258597161391
aki,matched_gaussian_ensemble,9.0,36.0,0.3708601785916129,0.6364869447270262,0.7300779925398441,0.7983214649033571,0.0860517991685282
aki,matched_gaussian_ensemble,10.0,40.0,0.3595343437196021,0.6249019423263987,0.7192569581725188,0.7886661018544667,0.0677605473803147
aki,single_gaussian_grud,1.0,4.0,0.5798294582385705,0.8508856016891277,0.9198854701175998,0.9527783520979393,0.39401953911528187
aki,single_gaussian_grud,2.0,8.0,0.5342905797662358,0.8174200789534792,0.9002760791598937,0.9397721701886111,0.308379590755307
aki,single_gaussian_grud,3.0,12.0,0.4384799086283875,0.7105804174021388,0.8100854878344235,0.8699338940227737,0.2136136932033713
aki,single_gaussian_grud,4.0,16.0,0.3706875930770002,0.6282244187751259,0.7346697840227784,0.8027654961148792,0.15646270701510837
aki,single_gaussian_grud,5.0,20.0,0.3320937964826319,0.5771064835068684,0.6842899641263452,0.7540467232478782,0.14565532259075628
aki,single_gaussian_grud,6.0,24.0,0.30517432822562734,0.5406987933969946,0.6450070323488045,0.7165001110370864,0.1362002391441124
aki,single_gaussian_grud,7.0,28.0,0.28470477386934673,0.510573701842546,0.6117915968732551,0.685144472361809,0.09347524740785396
aki,single_gaussian_grud,8.0,32.0,0.2797104133047626,0.5010008553565602,0.6029558300926783,0.6746117827570699,0.09893979091670606
aki,single_gaussian_grud,9.0,36.0,0.2742266681737689,0.4895727365208545,0.5885139972118609,0.6609396782336762,0.08726284206869983
aki,single_gaussian_grud,10.0,40.0,0.2655767883104793,0.4760216302153608,0.5736190864685641,0.6465635361427511,0.08004759429356507
heart_failure,categorical_rssm,1.0,4.0,0.5884575728621786,0.8467019708821195,0.9193131332761123,0.9528143505697798,0.4764940605609125
heart_failure,categorical_rssm,2.0,8.0,0.5073813333333334,0.7800106666666666,0.8685866666666667,0.9182346666666668,0.4740060874641798
heart_failure,categorical_rssm,3.0,12.0,0.451361339378483,0.7251936337017096,0.823846462642864,0.8816118824974025,0.4268745454222977
heart_failure,categorical_rssm,4.0,16.0,0.42030649797190217,0.6975783705375131,0.80334837617858,0.863761517178392,0.4026401199378195
heart_failure,categorical_rssm,5.0,20.0,0.39795376029763485,0.6737236838220096,0.7833436678772846,0.8492928219210442,0.4020340469995585
heart_failure,categorical_rssm,6.0,24.0,0.37289318839134333,0.6388251720355042,0.7521192779495363,0.8228283634187693,0.3868635422460252
heart_failure,categorical_rssm,7.0,28.0,0.3480159885644704,0.6074242704996867,0.7196001094140173,0.7951398999391164,0.38940439443333247
heart_failure,categorical_rssm,8.0,32.0,0.31949089806366443,0.5714107332387909,0.6827210374691176,0.7617442181967373,0.39544234647788334
heart_failure,categorical_rssm,9.0,36.0,0.31317401960784313,0.5549121732026143,0.6645526960784314,0.7415645424836601,0.39492909668023596
heart_failure,categorical_rssm,10.0,40.0,0.3000790343440149,0.5402835656464051,0.6516740911050438,0.7298582171767976,0.4037473757119518
heart_failure,causal_transformer,1.0,4.0,0.5637284274509169,0.8411580214524391,0.9167867765739796,0.9520424082441282,0.49405951872544024
heart_failure,causal_transformer,2.0,8.0,0.5524266666666667,0.8079626666666666,0.886224,0.928224,0.4030990611715309
heart_failure,causal_transformer,3.0,12.0,0.48030603570416547,0.7405662605081704,0.833055870407103,0.8862756210446774,0.33264046808837694
heart_failure,causal_transformer,4.0,16.0,0.43851908560990677,0.6929379214011336,0.7924557444865287,0.8548902678163698,0.28820100865031695
heart_failure,causal_transformer,5.0,20.0,0.38885197980334835,0.6373756163817285,0.7432825464316296,0.811763663743467,0.2833008781026281
heart_failure,causal_transformer,6.0,24.0,0.34117050629965756,0.5764352913799408,0.6818756025398093,0.75631627937901,0.26426252634549513
heart_failure,causal_transformer,7.0,28.0,0.30890930107384557,0.5326962613936169,0.6385190283329362,0.7150206033653634,0.26068640832420004
heart_failure,causal_transformer,8.0,32.0,0.2741016241671795,0.4866971699711913,0.5900962370338658,0.664044452768933,0.2643633518313874
heart_failure,causal_transformer,9.0,36.0,0.24871323529411762,0.44838643790849675,0.5501123366013071,0.6267258986928105,0.2710700880875931
heart_failure,causal_transformer,10.0,40.0,0.23103175743641327,0.4260190640417684,0.5271351247784644,0.6032356181443693,0.28724793524383496
heart_failure,hgb_residual,1.0,4.0,0.6205282676642536,0.8462647168375196,0.9093912452023516,0.9423310498955448,0.1022006257648662
heart_failure,hgb_residual,2.0,8.0,0.582192,0.829824,0.900064,0.936672,0.0918274281393599
heart_failure,hgb_residual,3.0,12.0,0.509404222159252,0.7902203173703599,0.8744863984131482,0.9217200340039672,-0.0044113901634562
heart_failure,hgb_residual,4.0,16.0,0.4754412120235313,0.7413570795390443,0.8462809251349827,0.9101055685389636,-0.0104983528215212
heart_failure,hgb_residual,5.0,20.0,0.4568606608202675,0.7223846221986004,0.8271326069625299,0.8968907786340685,-0.0216535868998478
heart_failure,hgb_residual,6.0,24.0,0.4363717961503939,0.6937020045876134,0.7918370399920216,0.8732422459359729,-0.046046484730357
heart_failure,hgb_residual,7.0,28.0,0.4201762977473066,0.6757815602085925,0.7752600788839771,0.8597029938851682,-0.0584548330255248
heart_failure,hgb_residual,8.0,32.0,0.4112059508201108,0.6615471061996628,0.7626361276857625,0.8467610306906055,-0.0509200407566606
heart_failure,hgb_residual,9.0,36.0,0.4063419117647059,0.6588235294117647,0.7599264705882353,0.8398897058823529,-0.0821073444934586
heart_failure,hgb_residual,10.0,40.0,0.4090027302773387,0.660044546630263,0.7566101451357954,0.8431168271303349,-0.1126294051945205
heart_failure,matched_gaussian_ensemble,1.0,4.0,0.565337090479198,0.8479003708562082,0.9212780773777712,0.9563069847284976,0.4968403559925945
heart_failure,matched_gaussian_ensemble,2.0,8.0,0.525712,0.824688,0.908704,0.948064,0.4610783511375935
heart_failure,matched_gaussian_ensemble,3.0,12.0,0.4656241144800226,0.7793284216491924,0.8791619438934543,0.9285385378294134,0.3792329189988357
heart_failure,matched_gaussian_ensemble,4.0,16.0,0.4387138367314046,0.7613022806027883,0.8579861390925941,0.9151825288097348,0.324985410902519
heart_failure,matched_gaussian_ensemble,5.0,20.0,0.4431304809992027,0.7501771636105944,0.8439410045176721,0.9059704136770308,0.3132356266957279
heart_failure,matched_gaussian_ensemble,6.0,24.0,0.4403360925501147,0.7430936471526878,0.8373142515208936,0.9005684651441109,0.2990317342771276
heart_failure,matched_gaussian_ensemble,7.0,28.0,0.4507769277602774,0.7492389549196601,0.8385790295682558,0.9018979802525346,0.2806541192489296
heart_failure,matched_gaussian_ensemble,8.0,32.0,0.4635164423514302,0.7520402429561448,0.8357102721215851,0.9008642602948652,0.2684262255119296
heart_failure,matched_gaussian_ensemble,9.0,36.0,0.4553615196078431,0.7449754901960784,0.828890931372549,0.8982536764705882,0.270177947538101
heart_failure,matched_gaussian_ensemble,10.0,40.0,0.4437059922402644,0.7336183359678115,0.8240408104612732,0.8954591176893232,0.2613952564246347
