source_path,sha256,ported_scope,status
kdd_rv01r/sources.py,fb50adab73b2e6d795c7dfbd40806b74a8846630b53199ee8ada89514836e88f,anchors_events_features_actions,partial_differential_failure
kdd_rv01r/construction.py,f0c586f60102b0048d5c682a6bc86757bc71e090941e1d9d608c5f1224b8e39c,sepsis_finalization_transitions,ported_not_accepted
kdd_rv01r/contracts.py,ef88dbd98ed84c72eb7513a1acbceb50c81a01df910f605e9a303e356de8db5d,roles_timing_export,ported_pass
kdd_benchmark_discovery/run_kdd097_materialization.py,03beaf158634c831e2b81f8f4bb27ea4aab7cd9e72b756d4d1bcda21593b463a,respiratory_shock_aki_sources,ported_partial
kdd_benchmark_discovery/run_kdd121_large_lineage_materialization.py,6c6ee262abfd5c78a8666b84be58e5d40cd4c3f574b4d2838abd89725dea27b1,sepsis_hf_large_lineage,ported_partial
kdd_benchmark_discovery/run_kdd151_current_lineage_source_unit_repair.py,ba23a8fcbe9a064f92d6376866ac7288d26bef240275f0aaa99b08358916f450,source_unit_repair,partial_feature_mismatch
kdd_benchmark_discovery/run_kdd152_v2a_repaired_interface_materialization.py,b784c465ad4709858191348442f7fe3f29de2c1cc59d598e7872c3af28ae3517,five_task_actions_interfaces,ported_partial
kdd_benchmark_discovery/kdd152v2a_repaired_interfaces.py,6402ee9eb64526ab41f122584342011c13bf709c9846efa43e5f16eecaeb66a7,reward_and_termination,primary_channels_pass
kdd_benchmark_discovery/kdd201_rebuild.py,349f7f608c573be14f282a3cfa90fef45e835d7c523133be532ac816166012d6,temporal_repair,ported_pass
scripts/sepsisagent_sepsis3_stay_manifest.py,7062040c82eff9801d09d6f221a394e64021bef45fc93bb1d39ec09ab379205e,suspected_infection,ported_candidate
scripts/meddreamer_sepsis3_stay_events.py,92b3f8213609b3c37b877b2ebc224e5cfa06c1824033c07a3bfdd62bf1be5554,events_features_actions,partial_differential_failure
scripts/meddreamer_sepsis3_derived.py,22c1533669ffa19da31a26f5b15bc3e1548cc55649db0d60ee74280a3342204f,derived_features,partial_differential_failure
scripts/meddreamer_sepsis3_scores.py,a09f039e3864868b5e5d97ce1055e82f00b2c19429a938e48d93eab72351c0d5,SOFA_SIRS,partial_differential_failure
scripts/export_mimiciv_meddreamer_sepsis_official_like.py,b4e84416f4e5e9df20173d364e71a560e13818b05dfca42c2c49692127143bfc,itemids_features_units,ported_partial
kdd_benchmark_discovery/exposures.py,b3f02fdc77e8e6e83370862e3c95fdf2ce5c658de6908ffe7f644f0ef6423f4d,medication_procedure_regexes,ported_candidate
kdd_benchmark_discovery/e060_contract_anchor_events.py,3ac824f1cea82208bca08228d4ae53e8850a8452e992584bf939a34ba4484739,anchor_event_rules,ported_candidate
kdd_benchmark_discovery/kdd151_source_unit_contract_v2.py,c9fdab7c122413b270ce3c770bb1f0e17f69c97a59fc0a30bddbe068e60e1bf3,unit_plausibility_rules,partial_differential_failure

