profile,environment_seed,episode_count,mean_return,return_standard_error,normalized_standard_error,generator_return_range,precision_pass,entrant_id,method,role,paired_precision_pass,jsonl_calls
sepsis,171901,16384,0.23089767661491922,0.006815067187170736,0.002358460896259025,2.88962483880091,True,public_reference,behavior,preregistered_control,True,
sepsis,171901,16384,0.2039601497747277,0.006568942874828044,0.0022732857174476385,2.88962483880091,True,public_reference,supported_random,preregistered_control,True,
sepsis,171901,16384,0.2514338894236597,0.007006243182473441,0.0024246203480797804,2.88962483880091,True,public_reference,minimum,preregistered_control,True,
sepsis,171901,16384,-0.16169284192487982,0.007047357217975458,0.0024388485049498176,2.88962483880091,True,public_reference,maximum,preregistered_control,True,
sepsis,171901,16384,0.40124722540361035,0.006234160452526732,0.0021574290090590736,2.88962483880091,True,public_reference,severity,preregistered_control,True,
sepsis,171901,16384,0.2375378198029725,0.006509277394851686,0.0022526375422329222,2.88962483880091,True,history_softmax_reference,history_softmax_reference,policy_entrant,True,33
sepsis,171901,16384,0.48084091093789216,0.006118104336462676,0.0021172659697241076,2.88962483880091,True,public_reference,privileged_latent_state_oracle,privileged_reference,True,
sepsis,171902,16384,0.23753764058188442,0.006796888849603217,0.0023521699974117334,2.88962483880091,True,public_reference,behavior,preregistered_control,True,
sepsis,171902,16384,0.19745427926120374,0.006594083882096343,0.0022819861573562085,2.88962483880091,True,public_reference,supported_random,preregistered_control,True,
sepsis,171902,16384,0.25540468766029856,0.006995740829389542,0.0024209858440629,2.88962483880091,True,public_reference,minimum,preregistered_control,True,
sepsis,171902,16384,-0.17477485572045595,0.007075231055800219,0.0024484946837376245,2.88962483880091,True,public_reference,maximum,preregistered_control,True,
sepsis,171902,16384,0.3842444308111038,0.006306998926654064,0.0021826359055216456,2.88962483880091,True,public_reference,severity,preregistered_control,True,
sepsis,171902,16384,0.22146650591950537,0.006570121237974517,0.0022736935084974146,2.88962483880091,True,history_softmax_reference,history_softmax_reference,policy_entrant,True,33
sepsis,171902,16384,0.4637114629026425,0.006202213253401568,0.0021463731797015085,2.88962483880091,True,public_reference,privileged_latent_state_oracle,privileged_reference,True,
sepsis,171903,16384,0.22762582348845883,0.006834638850721172,0.002365233977417394,2.88962483880091,True,public_reference,behavior,preregistered_control,True,
sepsis,171903,16384,0.18806899510049327,0.006629427548075695,0.00229421738734315,2.88962483880091,True,public_reference,supported_random,preregistered_control,True,
sepsis,171903,16384,0.2436059724411222,0.0070255374344363455,0.002431297426607009,2.88962483880091,True,public_reference,minimum,preregistered_control,True,
sepsis,171903,16384,-0.17781260981266683,0.007078618655706812,0.0024496670158207054,2.88962483880091,True,public_reference,maximum,preregistered_control,True,
sepsis,171903,16384,0.38021562286188937,0.006337314922709847,0.002193127231471198,2.88962483880091,True,public_reference,severity,preregistered_control,True,
sepsis,171903,16384,0.21774595501817318,0.006582996627751144,0.002278149239083524,2.88962483880091,True,history_softmax_reference,history_softmax_reference,policy_entrant,True,33
sepsis,171903,16384,0.46124169246752855,0.00622044881404971,0.0021526838814934094,2.88962483880091,True,public_reference,privileged_latent_state_oracle,privileged_reference,True,
sepsis,171904,16384,0.2148194210333474,0.006855618147079584,0.0023724941919880567,2.88962483880091,True,public_reference,behavior,preregistered_control,True,
sepsis,171904,16384,0.19007500250144044,0.006607960001044049,0.0022867882059686728,2.88962483880091,True,public_reference,supported_random,preregistered_control,True,
sepsis,171904,16384,0.23288967075092293,0.007046692548942606,0.002438618485805489,2.88962483880091,True,public_reference,minimum,preregistered_control,True,
sepsis,171904,16384,-0.16716234170505226,0.0070336517991669316,0.002434105529797994,2.88962483880091,True,public_reference,maximum,preregistered_control,True,
