profile,environment_seed,entrant_id,comparator,paired_episode_count,paired_mean_difference,paired_standard_error,paired_ci_lower,paired_ci_upper,normalized_paired_standard_error,paired_precision_threshold,paired_precision_pass,inferential_unit_for_summary,row_role,bootstrap_replicates,bootstrap_seed
sepsis,171901,history_softmax_reference,behavior,16384,0.006640143188053281,0.004119055658816244,-0.001433205903226556,0.014713492279333117,0.0014254638192151973,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171901,history_softmax_reference,supported_random,16384,0.0335776700282448,0.00318348667491952,0.02733803614540254,0.03981730391108706,0.0011016954976897804,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171901,history_softmax_reference,minimum,16384,-0.013896069620687195,0.0048663400363687164,-0.023434096091969878,-0.00435804314940451,0.0016840732994211358,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171901,history_softmax_reference,maximum,16384,0.39923066172785227,0.004864506355588882,0.38969622927089803,0.4087650941848065,0.0016834387254255044,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171901,history_softmax_reference,severity,16384,-0.16370940560063785,0.003198909354096788,-0.16997926793466756,-0.15743954326660814,0.0011070327577278923,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171902,history_softmax_reference,behavior,16384,-0.016071134662379034,0.0038922861258593117,-0.023700015469063286,-0.008442253855694783,0.0013469866653951072,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171902,history_softmax_reference,supported_random,16384,0.024012226658301633,0.0030981451751628006,0.017939862114982545,0.03008459120162072,0.0010721617330948813,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171902,history_softmax_reference,minimum,16384,-0.03393818174079312,0.00471402912927821,-0.04317767883417841,-0.024698684647407827,0.001631363720985442,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171902,history_softmax_reference,maximum,16384,0.3962413616399613,0.004848128511831615,0.3867390297567714,0.40574369352315126,0.0016777709157024734,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171902,history_softmax_reference,severity,16384,-0.16277792489159845,0.003146094944571639,-0.16894427098295886,-0.15661157880023804,0.0010887555029036762,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171903,history_softmax_reference,behavior,16384,-0.009879868470285652,0.004007825029397965,-0.017735205527905664,-0.002024531412665641,0.001386970715223042,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171903,history_softmax_reference,supported_random,16384,0.029676959917679907,0.003147951245294108,0.023506975476903454,0.03584694435845636,0.0010893979048852563,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171903,history_softmax_reference,minimum,16384,-0.025860017422949015,0.004773036060215445,-0.035215168100971285,-0.016504866744926745,0.0016517839949756533,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171903,history_softmax_reference,maximum,16384,0.39555856483084006,0.004861275295261422,0.3860304652521277,0.40508666440955243,0.0016823205663191473,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171903,history_softmax_reference,severity,16384,-0.16246966784371614,0.003158546557833745,-0.16866041909707027,-0.156278916590362,0.0010930645789798885,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171904,history_softmax_reference,behavior,16384,-0.0001264629049447289,0.0040882808455741295,-0.008139493362270022,0.007886567552380564,0.0014148137123816454,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171904,history_softmax_reference,supported_random,16384,0.02461795562696224,0.003232170168884153,0.0182829020959493,0.030953009157975178,0.0011185431843897726,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171904,history_softmax_reference,minimum,16384,-0.018196712622520247,0.00478611381345072,-0.02757749569688366,-0.008815929548156836,0.0016563097566107523,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171904,history_softmax_reference,maximum,16384,0.38185529983345495,0.004762248527691749,0.3725212927191791,0.3911893069477308,0.0016480508001405158,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171904,history_softmax_reference,severity,16384,-0.16630831787252734,0.0032457183882942248,-0.17266992591358402,-0.15994670983147066,0.001123231758224047,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171905,history_softmax_reference,behavior,16384,-0.00816273821389403,0.00400136662355905,-0.016005416796069767,-0.00032005963171829153,0.0013847356825806747,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171905,history_softmax_reference,supported_random,16384,0.028189035191914256,0.0031512179636691714,0.02201264798312268,0.03436542240070583,0.0010905284040182922,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171905,history_softmax_reference,minimum,16384,-0.021838033182774857,0.004845573876572129,-0.03133535798085623,-0.012340708384693486,0.0016768868441007958,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171905,history_softmax_reference,maximum,16384,0.39285877752564696,0.004828226839348319,0.38339545292052424,0.4023221021307697,0.001670883629776611,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171905,history_softmax_reference,severity,16384,-0.16407741354060945,0.003190737464179978,-0.17033125897040222,-0.1578235681108167,0.0011042047470439169,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171906,history_softmax_reference,behavior,16384,-0.004244390766856856,0.003988760692244874,-0.012062361723656809,0.0035735801899430984,0.001380373202322024,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171906,history_softmax_reference,supported_random,16384,0.021178191558757626,0.0031847086234503795,0.014936162656794882,0.02742022046072037,0.0011021183721454716,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171906,history_softmax_reference,minimum,16384,-0.017088521198715637,0.004819147205076809,-0.026534049720666184,-0.007642992676765091,0.0016677414799204802,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171906,history_softmax_reference,maximum,16384,0.38928513471161363,0.004837156245700248,0.37980430847004115,0.3987659609531861,0.0016739737909048059,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171906,history_softmax_reference,severity,16384,-0.16447198595345944,0.0032115821164678316,-0.17076668690173638,-0.1581772850051825,0.0011114183659220352,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171907,history_softmax_reference,behavior,16384,0.0018350753997603705,0.0040525210092890954,-0.006107865778446256,0.009778016577966998,0.0014024384601326813,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171907,history_softmax_reference,supported_random,16384,0.02857521392249017,0.0032066884816620072,0.022290104498432634,0.034860323346547706,0.001109724846839518,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171907,history_softmax_reference,minimum,16384,-0.013672212843812634,0.004851477361345745,-0.023181108472050294,-0.004163317215574974,0.001678929837604432,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171907,history_softmax_reference,maximum,16384,0.3923368010052595,0.004845679554725783,0.3828392690779969,0.401834332932522,0.0016769234156834578,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171907,history_softmax_reference,severity,16384,-0.16194664868284844,0.003146566607366958,-0.16811391923328767,-0.15577937813240922,0.0010889187292121524,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171908,history_softmax_reference,behavior,16384,-0.003761510522935224,0.003988313700788915,-0.011578605376481498,0.00405558433061105,0.0013802185139175096,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171908,history_softmax_reference,supported_random,16384,0.03061720639625102,0.003176881219723154,0.02439051920559364,0.0368438935869084,0.001099409576310759,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171908,history_softmax_reference,minimum,16384,-0.02430694273473208,0.004753558816075192,-0.03362391801423946,-0.014989967455224702,0.0016450435891351722,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171908,history_softmax_reference,maximum,16384,0.3861810220291032,0.0048022273837985945,0.37676865635685797,0.39559338770134844,0.0016618861103752643,0.0035,True,profile_x_environment_seed,environment,,
sepsis,171908,history_softmax_reference,severity,16384,-0.1601243783511207,0.0031404152729556135,-0.1662795922861137,-0.1539691644161277,0.001086789963453793,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171901,history_softmax_reference,behavior,4096,0.14174699841720173,0.003879690034270873,0.1341428059500308,0.14935119088437265,0.00015588291005193283,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171901,history_softmax_reference,supported_random,4096,0.04535297525224375,0.002451394278430733,0.040548242466519516,0.050157708037967985,9.849510410133993e-05,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171901,history_softmax_reference,minimum,4096,-0.16176041840209543,0.005016535704554521,-0.17159282838302228,-0.15192800842116858,0.00020156047959958874,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171901,history_softmax_reference,maximum,4096,0.3445575899891466,0.005265548971449832,0.3342371140051049,0.3548780659731883,0.00021156563783189444,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171901,history_softmax_reference,severity,4096,-0.20411167571658545,0.003396361534215998,-0.2107685443236488,-0.1974548071095221,0.0001364631490828715,0.0035,True,profile_x_environment_seed,environment,,
respiratory,171902,history_softmax_reference,behavior,4096,0.1161353051506253,0.0036186287963058685,0.10904279270986579,0.1232278175913848,0.00014539367376855203,0.0035,True,profile_x_environment_seed,environment,,
