task_id,card_id,behavior_estimator,split,heldout_transitions,action_count,nll,brier,ece,temperature,entropy_logk,argmax_accuracy,selected_action_probability_mean,selected_action_probability_q01,selected_action_probability_q05,selected_action_probability_median,selected_action_probability_q95,near_zero_mass_lt_0p01,near_one_mass_gt_0p99,fit_rows,estimator_detail,claim_boundary,selected_support_rate_ge_0p01,selected_support_rate_ge_0p05,selected_support_rate_ge_0p1,selected_support_rate_ge_0p2
kdd2027_sepsis_vasopressor_3bin,sepsis_reference,knn_frequency,val,66640,3,0.24267568312076715,0.12879471441649215,0.00857459976553632,0.75,0.2218130972932602,0.9126050420168067,0.8715923891132671,0.029155196622014046,0.2415468692779541,0.9864370822906494,0.9924054741859436,0.003076230492196879,0.4423619447779112,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9969237695078031,0.983688475390156,0.9718637454981993,0.9558073229291717
kdd2027_sepsis_vasopressor_3bin,sepsis_reference,knn_frequency,test,69496,3,0.2512423883454457,0.13326197596354347,0.008600981912703302,0.75,0.22101001732637632,0.9099372625762634,0.8695823954836563,0.02683495543897152,0.22115078195929527,0.9864370822906494,0.9924054741859436,0.0031944284563140326,0.4413491423966847,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.996805571543686,0.9820996891907448,0.9693219753654887,0.9527454817543456
kdd2027_sepsis_vasopressor_3bin,sepsis_reference,nn_classifier,val,66640,3,0.20089547422376416,0.1005157475602638,0.008785616207112133,0.9500000000000001,0.17931875968321367,0.9396458583433374,0.8993462555170724,0.03141389805823565,0.31803692579269427,0.9881377816200256,0.9998944401741028,0.002971188475390156,0.48067226890756304,300000,mlp=32-64-3;epochs=5,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9970288115246099,0.9836434573829532,0.970453181272509,0.9581632653061225
kdd2027_sepsis_vasopressor_3bin,sepsis_reference,nn_classifier,test,69496,3,0.20477861391318516,0.102558016010439,0.008038028366662158,0.9500000000000001,0.17858967640016868,0.937794981006101,0.8985098925883132,0.029113660100847483,0.29010239988565445,0.9882928431034088,0.9998951554298401,0.0025469091746287554,0.48224358236445264,300000,mlp=32-64-3;epochs=5,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9974530908253713,0.9819845746517786,0.9694514792218257,0.9571917808219178
kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,knn_frequency,val,40851,4,0.38567257253751,0.21648966297910882,0.018395147074310943,0.75,0.2829432993485832,0.8371398496976818,0.7857291618281614,0.032464900985360146,0.16713370382785797,0.9690147042274475,0.9886512756347656,0.0033536510734131354,0.0,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9966463489265869,0.9862182076326161,0.9726077696996401,0.9377004234902451
kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,knn_frequency,test,42551,4,0.38229413780773963,0.21292893929553577,0.014315213622790401,0.75,0.2840471751974762,0.840285774717398,0.7868814288167695,0.031091907992959023,0.17257694900035858,0.9753829836845398,0.9886512756347656,0.0034546779159126697,0.0,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9965453220840873,0.9860872834951,0.9731146154026933,0.9400484124932434
kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,nn_classifier,val,40851,4,0.3745095539651022,0.20663555585790735,0.007875670144550432,0.9,0.2687910647865797,0.8545445643925486,0.7934117238054514,0.034427979961037636,0.1571379005908966,0.9545102715492249,0.9996091723442078,0.00428386086019926,0.38571883185234146,195211,mlp=32-64-4;epochs=5,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9957161391398007,0.9859489363785464,0.9700374531835206,0.9352035445888718
kdd2027_respiratory_peep_5bin,respiratory_ventilator_settings,nn_classifier,test,42551,4,0.37177702092159604,0.20383544008086432,0.007389830600523061,0.9,0.26693959517009047,0.8568541279875913,0.7954080094460608,0.03427882306277752,0.16317863762378693,0.9590978622436523,0.999617725610733,0.005052760217151183,0.39136565533124956,195211,mlp=32-64-4;epochs=5,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9949472397828488,0.9858287701816644,0.9702474677445888,0.937463279358887
kdd2027_hf_diuretic_binary,hf_diuretic_decongestion,knn_frequency,val,82943,2,0.2578078218676188,0.15597720469885457,0.011377568866858097,0.8,0.3687397126255179,0.8965795787468502,0.8440432905463838,0.05324021354317665,0.26093077659606934,0.9579845666885376,0.9946109652519226,0.000699275406001712,0.3341210228711284,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9993007245939983,0.9920306716660839,0.9806252486647457,0.9606476737036278
kdd2027_hf_diuretic_binary,hf_diuretic_decongestion,knn_frequency,test,82382,2,0.2604134533241907,0.15810662526943808,0.010178317269865494,0.8,0.36996947491759824,0.894722148042048,0.842603924477629,0.05324021354317665,0.26093077659606934,0.9579845666885376,0.9946109652519226,0.0007283144376198684,0.3369789517127528,30000,k=64;distance=euclidean;state_space=fixed_projection_latent;smoothing=1,"Policy-evaluation diagnostics only. Treatment recommendation, causal value, counterfactual benefit, clinical utility, policy optimization, and autonomous-decision claims remain blocked.",0.9992716855623801,0.9919764026122211,0.9807360831249545,0.9598455973392246
