task,method,seed,method_group,exact_true_return,behavior_relative_exact_return,paired_mc_behavior_delta,paired_mc_se,evaluation_episodes,maximum_pairwise_se,unsupported_action_mass,claim_boundary
respiratory,behavior_cloning,3408,model_free,-0.6853175921342873,-0.0264134547762735,-0.0209432830184165,0.0048684335856752,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,discrete_bcq,3408,model_free,-0.6286777348217177,0.030226402536296,0.0426100516468204,0.0050581524095135,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,discrete_cql,3408,model_free,-0.7171027131434806,-0.0581985757854668,-0.0519162001784973,0.0051422668782753,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,soft_spibb,3408,model_free,-0.5930857959762111,0.0658183413818026,0.0765337542197822,0.0041860492278467,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,decision_transformer_adapter,3408,model_free,-0.6697446517519459,-0.010840514393932,-0.0128745185548185,0.0048509849346321,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,empirical_behavior,3408,control,-0.6589041373580138,0.0,0.0,0.0,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,random_supported,3408,control,-0.5569164837977322,0.1019876535602816,0.1062980149614577,0.0100370407037595,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,minimum_supported_action,3408,control,-0.7964714024604391,-0.1375672651024253,-0.1295987379805525,0.0269072407632233,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,maximum_supported_action,3408,control,-1.0120469161806844,-0.3531427788226706,-0.3483093292379274,0.0066259729951319,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
respiratory,severity_rule,3408,control,0.092554597073499,0.7514587344315129,0.7596566164827478,0.0132657441037464,2048,0.0269072407632233,0.0,"Exact finite known-construction technical benchmark only. Task profiles use aggregate EHR-derived dimensions and support, but action response is injected and is not a treatment benefit, causal effect, counterfactual claim, clinical utility, policy superiority, deployment, or autonomous-decision result."
