environment,task,mechanism,horizon,estimator,denominator_contract,clipping_contract,support_contract,independent_logged_datasets,minimum_policy_empirical_coverage,minimum_policy_coverage_ci_low,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_probability,false_improvement_gate,median_ess,ess_gate,maximum_unsupported_action_mass,support_gate,finite_gate,approved_known_value_tuple,retrospective_ehr_ope_authorized,authorization_boundary
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,20,masked,500,0.024,0.01378131466,False,True,True,True,0.0,True,90.91252829,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,crossfit_stronger,none,masked,500,0.024,0.01378131466,False,True,True,False,0.0,True,88.79132372,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,exact_behavior,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,exact_behavior,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,misspecified_behavior,20,masked,500,0.326,0.286375316,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,misspecified_behavior,none,masked,500,0.326,0.286375316,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,paper_lstm_h16,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,CWPDIS,paper_lstm_h16,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,crossfit_stronger,20,masked,500,0.664,0.6214872242,False,True,True,False,0.0,True,90.91252829,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,crossfit_stronger,none,masked,500,0.664,0.6214872242,False,True,True,False,0.0,True,88.79132372,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,exact_behavior,20,masked,500,0.668,0.6255786635,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,exact_behavior,none,masked,500,0.664,0.6214872242,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,misspecified_behavior,20,masked,500,0.548,0.5041754011,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,misspecified_behavior,none,masked,500,0.548,0.5041754011,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,paper_lstm_h16,20,masked,500,0.388,0.3462960294,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,DR,paper_lstm_h16,none,masked,500,0.388,0.3462960294,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,crossfit_stronger,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,90.91252829,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,crossfit_stronger,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,88.79132372,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,exact_behavior,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,exact_behavior,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,86.64482202,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,misspecified_behavior,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,misspecified_behavior,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,147.0817158,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,paper_lstm_h16,20,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,FQE,paper_lstm_h16,none,masked,500,0.0,4.33680869e-19,False,True,True,False,0.0,True,146.7205372,True,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
kdd107_aki_rrt_delayed_tradeoff,aki_rrt,delayed_tradeoff,1,IS,crossfit_stronger,20,masked,500,0.682,0.6399250012,False,True,True,True,0.0,True,90.91252829,False,0,True,True,False,False,"Passing tuples remain estimator--denominator--clip--support--horizon--mechanism specific and do not authorize retrospective EHR OPE without separate trained-policy, probability, overlap, and task-contract gates."
