task,method_group,method,seeds,mean_exact_true_return,std_exact_true_return,mean_behavior_relative_exact_return,mean_paired_mc_behavior_delta,mean_paired_mc_se,maximum_unsupported_action_mass,exact_oracle_value,mean_exact_regret,behavior_exact_regret,behavior_normalized_exact_regret,display_method,evidence_role,claim_boundary
aki_rrt,control,empirical_behavior,5,-0.0728412911319615,0.0,0.0,0.0,0.0,0.0,0.1453668160864294,0.218208107218391,0.218208107218391,1.0,Empirical behavior,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,control,maximum_supported_action,5,-0.0423985451584828,0.0,0.0304427459734787,0.025797799427083302,0.0087776742343029,0.0,0.1453668160864294,0.1877653612449123,0.218208107218391,0.8604875576735083,Maximum supported,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,control,minimum_supported_action,5,-0.0618838848406824,0.0,0.0109574062912791,0.0079127239192708,0.0038625979059579998,0.0,0.1453668160864294,0.2072507009271119,0.218208107218391,0.9497846050224316,Minimum supported,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,control,random_supported,5,-0.0873905251951738,0.0,-0.014549234063212202,-0.0230851077083333,0.0054547379904717,0.0,0.1453668160864294,0.2327573412816033,0.218208107218391,1.0666759555759808,Supported random,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,control,severity_rule,5,0.144703956752042,0.0,0.2175452478840036,0.2135470235026041,0.0051001785660051,0.0,0.1453668160864294,0.0006628593343874,0.218208107218391,0.00303773926109897,Severity rule,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,model_free,behavior_cloning,5,-0.0882007454905468,0.0024848362287709018,-0.01535945435858522,-0.017212052190104122,0.004875642643275261,0.0,0.1453668160864294,0.23356756157697628,0.218208107218391,1.0703890178709672,Behavior cloning,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,model_free,decision_transformer_adapter,5,-0.08277395800667704,0.0061536268132544505,-0.00993266687471546,-0.01981943264192704,0.00414403788090126,0.0,0.1453668160864294,0.22814077409310657,0.218208107218391,1.0455192384982037,Decision Transformer adapter,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,model_free,discrete_bcq,5,-0.07305150284376656,0.023566860226506142,-0.00021021171180501952,-0.00468558240494794,0.00658030301645324,0.0,0.1453668160864294,0.2184183189301961,0.218208107218391,1.0009633542698515,Discrete BCQ,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,model_free,discrete_cql,5,-0.053315702904606674,0.019159037252651067,0.01952558822735482,0.016294242914062458,0.0038128297108730204,0.0,0.1453668160864294,0.19868251899103617,0.218208107218391,0.9105185023771235,Discrete CQL,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
aki_rrt,model_free,soft_spibb,5,-0.08257456231773896,0.005637499288607778,-0.009733271185777359,-0.01028836547395828,0.00426658146684552,0.0,0.1453668160864294,0.22794137840416848,0.218208107218391,1.0446054516940382,Soft-SPIBB adapter,primary adaptive exact-finite policy benchmark; lower exact regret is better,known-construction technical benchmark only; no retrospective EHR policy value
