filename,pointer_or_column,equality,classification,justification
aggregate_receipt.json,/,equal,exact,none
icu_time_order_eligibility_aggregate.csv,/,equal,exact,none
nullable_key_and_timestamp_exclusion_aggregate.csv,/,equal,exact,none
respiratory_action_filter_aggregate.csv,/,equal,exact,none
runtime_resource_aggregate.json,/maximum_resident_set_size_kib,different,allowed_telemetry,frozen_runtime_resource_allowlist
runtime_resource_aggregate.json,/wall_seconds,different,allowed_telemetry,frozen_runtime_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/0/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/0/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/0/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/0/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/1/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/1/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/1/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/1/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/2/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/2/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/2/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/2/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/3/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/3/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/3/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
