entrant_id,profile,environment_seed,planner,evaluation_horizon,direct_episode_count,direct_return,direct_return_standard_error,learned_model_predicted_return,absolute_direct_return_gap,chosen_action,policy_probability_sum_error,unsupported_mass,terminal_emission_max
kdd235b_recurrent_gaussian_v1,sepsis,171901,H4_support_only_sequence_categorical_CEM,full_episode,512,0.3910182055640318,0.03453940284123352,-0.9234060273098232,1.3144242328738551,12,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171902,H4_support_only_sequence_categorical_CEM,full_episode,512,0.16317332023936207,0.038179637608625736,-0.5610095399268327,0.7241828601661947,9,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171903,H4_support_only_sequence_categorical_CEM,full_episode,512,0.3827608004273029,0.035970050560782965,1.6800021465570598,1.297241346129757,11,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171904,H4_support_only_sequence_categorical_CEM,full_episode,512,0.2889784468075411,0.0359598044466179,0.586195529828923,0.2972170830213819,9,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171905,H4_support_only_sequence_categorical_CEM,full_episode,512,0.4055533299282112,0.03542439147626686,0.898875630187745,0.4933223002595338,11,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171906,H4_support_only_sequence_categorical_CEM,full_episode,512,0.3555450117594295,0.036657016881573044,0.8131689143747339,0.45762390261530445,11,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171907,H4_support_only_sequence_categorical_CEM,full_episode,512,0.39523469582302806,0.03576519117604417,1.621613673237841,1.226378977414813,11,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,sepsis,171908,H4_support_only_sequence_categorical_CEM,full_episode,512,0.35299285282673665,0.03657800328144055,-0.06264457336133153,0.4156374261880682,11,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,respiratory,171901,H4_support_only_sequence_categorical_CEM,full_episode,512,0.28189791458475205,0.10958614830007304,-0.33005196447832835,0.6119498790630804,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171902,H4_support_only_sequence_categorical_CEM,full_episode,512,0.27338201355162295,0.10538827583479946,2.7544077440694124,2.481025730517789,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171903,H4_support_only_sequence_categorical_CEM,full_episode,512,0.1895272559492076,0.10938592765807943,0.1966311062780511,0.007103850328843503,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171904,H4_support_only_sequence_categorical_CEM,full_episode,512,0.28265154288541977,0.10138609287192747,-4.864578758486424,5.1472303013718435,8,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171905,H4_support_only_sequence_categorical_CEM,full_episode,512,0.3835213408777427,0.10603627695112793,1.9163820101150284,1.5328606692372857,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171906,H4_support_only_sequence_categorical_CEM,full_episode,512,0.155617258202083,0.11086582843691323,0.09948988848447328,0.05612736971760972,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171907,H4_support_only_sequence_categorical_CEM,full_episode,512,0.32759929781074965,0.11110159635725052,1.0748516698835437,0.7472523720727942,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,respiratory,171908,H4_support_only_sequence_categorical_CEM,full_episode,512,0.3555753136452151,0.10539820522139938,-1.8869153227759212,2.2424906364211363,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171901,H4_support_only_sequence_categorical_CEM,full_episode,512,0.176207674728522,0.04462376761682369,1.3012499986332604,1.1250423239047385,12,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171902,H4_support_only_sequence_categorical_CEM,full_episode,512,-0.007613488953184488,0.04471688723651126,-0.9165697567117497,0.9089562677585652,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171903,H4_support_only_sequence_categorical_CEM,full_episode,512,0.1417319763521303,0.04497755045611754,0.2265155221958937,0.08478354584376338,11,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171904,H4_support_only_sequence_categorical_CEM,full_episode,512,-0.03756593118810942,0.04697656534135102,-0.295966872772347,0.2584009415842376,9,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171905,H4_support_only_sequence_categorical_CEM,full_episode,512,0.1843470194895565,0.04454486601876774,-0.5099097263852013,0.6942567458747577,11,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171906,H4_support_only_sequence_categorical_CEM,full_episode,512,0.05398992825771745,0.044203161409806166,0.5710987749974379,0.5171088467397205,11,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171907,H4_support_only_sequence_categorical_CEM,full_episode,512,0.1524036755579078,0.045634641040193255,-1.1423307123750783,1.2947343879329862,11,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,shock,171908,H4_support_only_sequence_categorical_CEM,full_episode,512,0.24026385399453487,0.04559455950519272,-0.36904225719627554,0.6093061111908105,11,0.0,0.0,0
kdd235b_recurrent_gaussian_v1,aki,171901,H4_support_only_sequence_categorical_CEM,full_episode,512,0.25758511706237797,0.03746314688645006,0.45093864116597093,0.19335352410359297,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171902,H4_support_only_sequence_categorical_CEM,full_episode,512,0.21649923501361262,0.03820458108251789,0.25216819869685103,0.03566896368323841,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171903,H4_support_only_sequence_categorical_CEM,full_episode,512,0.1747310862075751,0.03903644025811154,0.3422026013229551,0.16747151511538,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171904,H4_support_only_sequence_categorical_CEM,full_episode,512,0.17662628623763788,0.03852008360224304,0.3416589822288334,0.16503269599119552,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171905,H4_support_only_sequence_categorical_CEM,full_episode,512,0.19142174598978134,0.03867590765598596,0.5012279989233158,0.3098062529335345,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171906,H4_support_only_sequence_categorical_CEM,full_episode,512,0.23255055479593661,0.03812093489128314,0.24254401596503516,0.00999346116909855,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171907,H4_support_only_sequence_categorical_CEM,full_episode,512,0.19700654365987963,0.0384769226054943,0.5423482409592316,0.345341697299352,1,0.0,0.0,1
kdd235b_recurrent_gaussian_v1,aki,171908,H4_support_only_sequence_categorical_CEM,full_episode,512,0.22379053540740868,0.0382870442343314,0.19251107170667484,0.03127946370073384,1,0.0,0.0,1
