entrant_id,profile,environment_seed,horizon,elapsed_hours,evaluation,observed_cells,rmse,mae,nll,crps,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,mace,risk_coverage_area
kdd235b_recurrent_gaussian_v1,sepsis,171901,1,4,common_origin_recursive,551,1.2450753876354201,0.979173457004255,2.766001939457885,0.7646328726490246,0.26678765880217786,0.7638323219793142,0.47731397459165154,1.4513052389033094,0.5607985480943739,1.8627301079448455,0.6460980036297641,2.219579824410732,0.2997504537205081,0.8155505853261185
kdd235b_recurrent_gaussian_v1,sepsis,171901,2,8,common_origin_recursive,1037,1.1324374884712474,0.848482832770689,2.3456757480599473,0.6657565089678069,0.3413693346190935,0.7653754346735279,0.5438765670202508,1.4542372011584899,0.6325940212150434,1.866493240759146,0.7049180327868853,2.2240638737292966,0.2318105110896818,0.804761741853107
kdd235b_recurrent_gaussian_v1,sepsis,171901,3,12,common_origin_recursive,1502,1.0594346145717009,0.7767116069726129,2.0947785547826347,0.608472429718084,0.36351531291611183,0.7666221505670859,0.585219707057257,1.4566060002465626,0.6717709720372836,1.8695335614737318,0.7416777629826897,2.227686639308191,0.19695406125166445,0.7707581569459795
kdd235b_recurrent_gaussian_v1,sepsis,171901,4,16,common_origin_recursive,1950,1.0020688495721044,0.7181571962571573,1.910108916185677,0.5644417137543887,0.3953846153846154,0.7676928306063898,0.6225641025641026,1.4586403257202536,0.703076923076923,1.8721445899518396,0.7671794871794871,2.230797871636616,0.16544871794871796,0.7476872482127108
kdd235b_recurrent_gaussian_v1,sepsis,171901,5,20,common_origin_recursive,2330,0.9700110401623464,0.6862301316808174,1.8109407855554773,0.5414525334442539,0.41759656652360516,0.7685649636137944,0.6407725321888412,1.4602974056398188,0.7171673819742489,1.8742714290031324,0.7776824034334764,2.2333321566776347,0.1491952789699571,0.7272256724689766
kdd235b_recurrent_gaussian_v1,sepsis,171901,6,24,common_origin_recursive,2658,0.9460748802709631,0.6643140310047283,1.7390620579320553,0.5249640163235225,0.43378480060195634,0.7693029493516942,0.6512415349887133,1.461699601562707,0.7279909706546276,1.8760711279863558,0.7874341610233259,2.235476630284486,0.13738713318284423,0.7123696983369064
kdd235b_recurrent_gaussian_v1,sepsis,171901,7,28,common_origin_recursive,2929,0.9240109143932451,0.6480052633880421,1.6748831464986738,0.510602255009862,0.4376920450665756,0.7698787265473704,0.6613178559235234,1.462793596195404,0.7395015363605326,1.8774752548961402,0.796858996244452,2.237149750693383,0.12865739160122908,0.6960007630613108
kdd235b_recurrent_gaussian_v1,sepsis,171901,8,32,common_origin_recursive,3215,0.9029606642661252,0.6315944189026782,1.6151142060344217,0.49679534230792816,0.4463452566096423,0.7704740308823457,0.6721617418351478,1.4639246930019032,0.749611197511664,1.8789270019304563,0.8046656298600311,2.238879613980487,0.1193040435458787,0.6807873664819469
kdd235b_recurrent_gaussian_v1,sepsis,171901,9,36,common_origin_recursive,3401,0.8924282247437456,0.6226685799357395,1.5855758293131041,0.48993686951275656,0.45163187297853574,0.7708623710555598,0.6771537783004998,1.4646625514449734,0.7536018817994707,1.879874032989441,0.8091737724198765,2.2400080710890324,0.11460967362540429,0.6715031478486764
kdd235b_recurrent_gaussian_v1,sepsis,171901,10,40,common_origin_recursive,3454,0.889473392541386,0.6201820684595654,1.5773688498360812,0.4880315014234956,0.4528083381586566,0.7709759955214898,0.679212507237985,1.4648784414746652,0.7547770700636943,1.8801511248427139,0.8103647944412276,2.2403382463969903,0.11320932252460914,0.6695948152013479
kdd235b_recurrent_gaussian_v1,sepsis,171901,11,44,common_origin_recursive,3474,0.8889510038783266,0.6194837486135067,1.5758624842598834,0.48758127310967003,0.45308002302820954,0.7710181814955894,0.6799078871617732,1.4649585961414127,0.7553252734599885,1.8802540022437184,0.8105929763960852,2.240460832381231,0.11277345998848591,0.6682602114946326
kdd235b_recurrent_gaussian_v1,sepsis,171902,1,4,common_origin_recursive,588,1.2145168199521488,0.9577783997863316,2.655903385104863,0.7427971199405811,0.2465986394557823,0.7627621884589885,0.4523809523809524,1.449271951832725,0.5714285714285714,1.8601204122426966,0.6479591836734694,2.2164701801828137,0.3079081632653061,0.8644136635651661
kdd235b_recurrent_gaussian_v1,sepsis,171902,2,8,common_origin_recursive,1084,1.101244004947753,0.8307553987361094,2.2430039137607296,0.64333454780283,0.30904059040590404,0.7642177229583637,0.5433579335793358,1.4520375127857807,0.6429889298892989,1.8636699712979,0.709409594095941,2.220699740670874,0.23630073800738008,0.8218622162568419
kdd235b_recurrent_gaussian_v1,sepsis,171902,3,12,common_origin_recursive,1569,1.0261005389185596,0.7587328436344927,1.9913631466806176,0.5859408631458067,0.3435309114085405,0.7655224955727085,0.5844486934353091,1.4545166214543817,0.687061822817081,1.8668518728263195,0.7488846398980242,2.224491210194891,0.19651848311026132,0.7897513782993627
