receipt,relative_path,file_sha256,file_count,repository_path_plus_bytes_sha256,secondary_path_plus_per_file_sha256_manifest_digest,status
kdd220br,action_reward_termination_interface_parity.csv,194fc023389dd8a0a68fec70ca35e12ab313c3786f6c04cea5a0ee7d761c0fa9,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,clean_clone_runtime_resource_receipt.csv,275c81a5adaaf5083004ad55f58e27f15173bbaeabe6faa29cbef01a250fefcb,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,decision.md,53142d249a0597868f6aa885b1f8d90d3860371806c06c85c200ea253b2f3bda,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/README.md,f37e81c1b7e16ca751ef49fd0a5fe5f493a6ac21a29673b6010e54a6ce901559,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/aggregate_receipt.json,132fc7f85bedf95620568f0e844c0abaac9b6d4793188b566973e750c1651c11,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/decision.md,eb0ce630fdfd54341fa87e32a0425525b115b1634b96ef0aedc0739b500fe874,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/environment_manifest.json,28e171686bdf0611d353015326c1e3c22f2b11a160db41b10d7b484132ffc480,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/executor_attestation.md,5cea670b673fd7438b0074a7c2936fe5c6c2df95b8e0f8cd27d91dc6221644ee,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/parity_comparison.csv,ecc04a840dec3f4f2c85ca62ec6e3ad037b02e586340f55145341c425e767c36,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/privacy_confirmation.md,1e54722cf11db1d8724fcf12a10f55e6fb69167642ce103b578fa7dc3ca8d2fd,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/public_only_command_log.txt,a1da9dd8cc53f8a4eeec232ed155ed06678019e393a145321dc661c7dc26a7e9,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,external_credentialed_executor_packet/result_audit.md,109442606e050c6ed0e38addceb0be44789361eaa9c7bf82033d1a1da65af7d6,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,failure_ledger.csv,070ba14438b50246da44ad4e0bff4d98076902b9736ec2e2efbc0120e1cafeab,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,five_task_cohort_role_transition_parity.csv,7ecf79c3f6d55bafed833e908432700dc744a80a5a9fb072ac5fa9936d691159,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,frozen_kdd220br_author_credentialed_parity_contract.md,e8b798b4d8d3929697569d3636227ebc626709eb28afe5eee59ea37a9f327158,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,icu_time_order_eligibility_aggregate.csv,3b3001181827e2dcbfeb503dab9dbed5c7f6b8692310786380fddf463fd2256f,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,kdd220ar_source_config_schema_and_clean_clone_identity.csv,467d8c3a4683901b29e57ea2c01f7ba6e11c12d568d80335ec0f37ce5448441b,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,kdd220c_authorization_or_nonexecution.md,2224a7137ec3f9ce87f9af68fdcb141cb46562adbb0333bc4264ac37ea436d66,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,local_restricted_differential_summary.csv,120a265016c58ce518d4bed563fca99106e25113c0e87fcb12028b32a5b2ee6a,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,result_audit.md,ae50594595cea2a80d90fea7ebcb16c53172ad4a1d7d03b28b1691de6f24f09a,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,safe_feature_mask_value_and_preprocessing_parity.csv,db0fe0cd337dfb38bf1112602c4f2d3cfa22ebdb8a9b1e869b479e104a4da6c8,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,schema_checksum_and_privacy_scan.csv,80908ab8c95e29a9d109d8ac47253a703acda593ff1b2c52dd2948eae75d0b57,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220br,task_specific_rerun_disposition.csv,c4ef83f84e0c958dcc89e0a8802d2e819c4fe4db3ebd042822c88accfd172528,23,df17493afc5420724889b7edc8b0a00ca3e213bc33ee2ef2fa8aa39192e7045d,4b5700a03c39f0142ef9d8d8767929d82fae3ae09947cfd451f213c2f5a4a93d,pass
kdd220c,decision.md,fa3acb2c577c2ae5dc9eaa9926c72d955ea64b03f0b96242beb6444f94f3d12f,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,failure_ledger.csv,3d6ab26402d17aa93e6cc0df5136d2f019c88b814f679b32e1de8735abedc23c,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,frozen_independent_credentialed_reconstruction_contract.md,1c2520d2a8d989b0abaac49d897c1b802e55011ce7edc3ce38264bae1238f597,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,independent_executor_attestation.md,068d42c2bf0a3521f341f83962bd091ddd598647bd269a31464adfd64ef99a93,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,independent_five_task_aggregate_parity.csv,cf0ed71c3ce921a0394edb6556401a5fd2e074a70eb6e517274cd8f1b0e7c57b,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,independent_interface_digest_parity.csv,b10477a39d90830c8d2bc0ac2cb8b5b18f6fdaaf1fe2ab935d427b5e4e89e27b,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,privacy_scan.csv,3d198d8c3b4034a606244e9de35f94b84bdaa856b1b3ca40bad226f4795cce7e,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,public_tag_and_clean_clone_identity.csv,53d8650cbc80c32aee9f545dfca053d67c3b59718562b5c85d5dbd4a44ff01bd,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,result_audit.md,5a0cd44628e5bd53cccd1faaa0e74362870360be27a7fd71536caaf2c0dbced0,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
kdd220c,runtime_resource_schema_checksum_receipt.csv,0f2f640078021d4c61df3c8c621e37b3fc1cbaf31edf9a5007d03c3696ab9154,10,f97357268114df605ac14c6a4dbf13b09970d0b08f35791028e42b6cf07ae403,a6669cbc7fa5d886c0e00b66875f90c7eaf039bcbeb932f69577c1cfcfe7f565,pass
