experiment_id,task_id,evaluation_mode,baseline_id,rank,rmse_mean,claim_boundary
KDD086,eicu_respiratory_peep3,one_step,tree_residual_hgb,1,0.7059572351407345,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,one_step,ridge_residual,2,0.7068868036168938,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,one_step,grud_missingness_aware,3,0.7269765531516836,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,one_step,dreamer_v3_categorical_rssm,4,0.7412198659787227,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,one_step,persistence_locf,5,0.7414868569327476,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,open_loop,tree_residual_hgb,1,1.0109497768393647,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,open_loop,persistence_locf,2,1.0256876984936203,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,open_loop,ridge_residual,3,1.0306039985515276,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,open_loop,dreamer_v3_categorical_rssm,4,1.068231396879501,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_respiratory_peep3,open_loop,grud_missingness_aware,5,1.1782101414479316,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_sepsis_vasopressor,one_step,grud_missingness_aware,1,0.685171969267195,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_sepsis_vasopressor,one_step,tree_residual_hgb,2,0.687507170250475,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD086,eicu_sepsis_vasopressor,one_step,ridge_residual,3,0.6899785678927036,"External recorded-trajectory forecasting portability only; eICU mappings are not phenotype identity. EHRDyn-ICU v1.0 remains unchanged. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
