relative_path,file_sha256,repository_standard_tree_sha256,secondary_manifest_sha256,status
action_reward_termination_interface_parity.csv,7b27ce7654a10c91f6dca07a1c38f5d0b5f176708f345c72fd5b8edc56e70a17,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
decision.md,505ad9907bee6dfa5dae9af9c618f1655f6ce19c4b1f9aed189dca4db5403b90,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
external_credentialed_executor_packet/README.md,6659173316a794333384c43bb336557098ae5e0bbd887c44bf3a3ac030e108ee,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
external_credentialed_executor_packet/decision.md,ca892508431065ef038025ccbcb14dead6d9176bbe13082179ff9a0bab3f44b4,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
external_credentialed_executor_packet/environment_manifest.json,b11445f3c48d07c2a9e069fcd16293209e39efea331944ae592d433178429cdb,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
external_credentialed_executor_packet/executor_attestation.md,eddabceb50bdd4c40bdafc896d46d806ac6114ebc739e4a87aaef833aa475aea,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
failure_ledger.csv,6e437efd98eb879c2d39bf02e7a5645e27b630748b7cd603d5ffd55295c86d10,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
five_task_cohort_role_transition_parity.csv,0db96257b38e029804eb75c636d5b527a83b2b39d60c8b33d762517a18633a9e,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
frozen_author_credentialed_reconstruction_contract.md,da12991e378cf3740eeba02ab4d9edaac47a02334ac861f7792f482efd067fbf,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
kdd220c_authorization_or_nonexecution.md,fdef2874b745b1d81734a03aa8e744b2869ea4c0d6a5ffdc6e1d5435e225ff10,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
local_restricted_differential_summary.csv,49f688adc9712f7e9ec44ecaf0b39d5594968bc008f63d34d25bcc6cc6e8737c,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
no_rerun_or_affected_rerun_disposition.csv,9781920ec5685d51949502e84723b8c26fae245ced957d4d1d75faa7bcb4a648,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
privacy_scan.csv,deee3182d09088cb39ec13e79a2943931031917d990fe22cb1dbc46c4b38d1f9,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
result_audit.md,8fc8f1854576641b82eaeb6e0bfc375634fddbd2b5e32601c13d9ec76a5df4d6,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
safe_feature_mask_value_and_preprocessing_parity.csv,86c1383c69a899dc9155417794609d7a3f96454e15f307eabbeaec4b8f33db7d,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
source_config_and_clean_clone_identity.csv,d584967d965e8bebf38ffa6c571cd482d48c82c84e6cc4cd81faf9144d8a0c0a,db55da00eb1c32400a8003505abc26a6f1def5e7a5995ea451199f331bacb4bd,d1a2e18716e6a0ccd93e90dbce84698c5e21ee418344f3a2ef9af2920b229daa,pass
