artifact,forbidden_hits,private_path_hit,row_level_ehr,status
bounded_release_notes.md,,False,False,pass
component_one_step_and_nonavailability_receipt.csv,,False,False,pass
cross_python_canonical_hash_receipt.csv,,False,False,pass
decision.md,,False,False,pass
failure_ledger.csv,,False,False,pass
fresh_policy_entrant_identity.csv,,False,False,pass
frozen_kdd216r_clean_clone_contract.md,,False,False,pass
full_direct_return_clean_clone_receipt.csv,,False,False,pass
full_repeated_ope_clean_clone_receipt.csv,,False,False,pass
full_suite_count_and_nesting_receipt.csv,,False,False,pass
hidden_dependency_scan.csv,,False,False,pass
historical_reference_parity_exclusion.md,,False,False,pass
immutable_clone_commit_and_environment.json,,False,False,pass
official_behavior_evaluator_parity.csv,,False,False,pass
public_only_command_log.txt,,False,False,pass
result_audit.md,,False,False,pass
runtime_memory_disk_profile.csv,,False,False,pass
schema_and_invalid_fixture_receipt.csv,,False,False,pass
