path,sha256,bytes,asset_class
.gitignore,a8e9a062faf1d23ad6c2801c19fd5d9fb50348dc34f1caa08e2bcd2100f02089,118,documentation_or_packaging
CANONICAL_SERIALIZATION.md,9aa4f5a46a1bc1ab09a7e714e089d9997018c5eac18db93754d8dbd7eb87237c,1295,documentation_or_packaging
CITATION.cff,74f81fa58388e4c0b2d5bb0687ba100886ca3521b48c5b8be736ac8b66bfb2e3,522,documentation_or_packaging
EHR_COMPONENT_SCORER.md,1b3d234607e2395f92464e8c3c18158495d5a967d42d47449d97b90c806afab0,2194,documentation_or_packaging
ETHICS_AND_MISUSE.md,e2096ebb0e7b3fd61de1eba1bba49c8727afcdc2e0003a4cd6e5a3b2cb5ebbba,900,documentation_or_packaging
KNOWN_LIMITATIONS.md,eb2ace9ecdc09df6c668afabcc4cb7c20dad4e8e1b7f4ffc3341e1c588ae3b3f,1200,documentation_or_packaging
LICENSE,072f10181816c6074afb57a7588c2c77d6288c727da4880f43053ec4e2c65a18,1070,documentation_or_packaging
LICENSE_NOTES.md,df5b9c628066f3227e1c93ae3145970371a236714794cac44aadb0e5e355aa0e,156,documentation_or_packaging
MIGRATION_V2.md,0b19b96f36e4d9219337aa164fcaa85fe7988c76ca96939e6452470c490678e7,1044,documentation_or_packaging
MIMIC_ACCESS.md,6dab9f7f5120a8942889b9c9e8098b86af974729b93848458de60063ae271890,935,documentation_or_packaging
OPE_CONTRACT.md,917cc32c1addce16019697f8493f4d3f1412fd24f93aa27d19368d0893ab7011,4337,documentation_or_packaging
README.md,e66c674f116f5483eaaa0583ea56313e885fa4876331e13da19ad68aba9b991c,3609,documentation_or_packaging
RECURSIVE_WORLD_MODEL_ENTRANT.md,7ced12fb145cda89ef5e51043f2d24de9319e76bd32ca88d3130a1d048989cc0,2299,documentation_or_packaging
RELEASE_ASSET_LICENSES.md,9f73a8a77c6f273b9b27b6a9eb9e113f8c9b9ca91216e2deb53829ba375b0b22,740,documentation_or_packaging
SCHEMA_VALIDATION.md,bd8b40c13f3268461565ff7249913711e79ff8251ab676aa719bd8d3fda5d1fa,1655,documentation_or_packaging
entrant_protocol.md,b02ddab8eb14afc74f37bdcc6aa526d3b412aa00e84477d2138778f358991803,1632,documentation_or_packaging
environment-rocky-linux.yml,2de6d5e605b59f1d7bd5d57860b4eac46fefd64e6d4f86a8cdb89ed6068dd7ae,101,documentation_or_packaging
pyproject.toml,9a239b57ec8d1f79fb006800dbd627de06a4b52d4ba1a32e176550df0ab49c3f,748,documentation_or_packaging
pyrightconfig.json,efba5977ba88faec289b077f5affc3466d3e2ac89ac41a7b1dc227ad481a885a,131,documentation_or_packaging
uv.lock,058efbbe69ca85d0c23c5f253544a2f90d133efa37ff33d1b93a233a90fe2353,52952,documentation_or_packaging
component_entrant_example/entrant.json,d0c300442aba655bb384fad9995bc075e6f0bd152f1758aba339d3b9d3404a41,251,entrant_runtime_or_example
component_entrant_example/entrant.py,658336661e2eaaab7bd255d747ecbb405bae1fff56400aeaf4eed0e7d351fb5a,969,entrant_runtime_or_example
configs/ehr_component/canonical_v2_scorer.json,4278e70110474679c1e78ccb70858c5401fec3aab977d4cb1206642fe8bfdcf9,834,contract_or_schema
configs/full_benchmark/kdd198_v2_generator_contract.json,0b452d491f2124b6c95853f03c83fbff5114416a0e7c70be9b8923f651d92f10,406954,contract_or_schema
configs/full_benchmark/kdd235b_full_external_entrant.json,e80313b707c29dde16c6f6638a8c067d5fd8193fb62afe135006afde5e2a2a86,1000,contract_or_schema
configs/public_pomdp/kdd198_repaired_v2.json,762f307475287a3032fdc0436d3609e06a170ea47e14603f01c45a46fc101d98,1696,contract_or_schema
configs/rich_action/af_rate_rhythm_k25.json,81af72a726b9439b6c8c2a91614eb7b455f15c3845b783e4e15f449151ca12d9,2136,contract_or_schema
configs/rich_action/aki_no_rich_action_exclusion.json,30e3b99987b022ec4e8e049cff384cbef8a24940571a50b62f719721cc2cdc18,1979,contract_or_schema
configs/rich_action/ami_fluid_vasopressor_k25.json,ea02f21acdee8be8148ae17328a0532ff8520b1f32fd896b84f619bb8c024e81,2440,contract_or_schema
configs/rich_action/hf_no_rich_action_exclusion.json,32a5f8557b025450af869c50322cd2b376318dc08de0db70e5dca49a3f2ca425,1984,contract_or_schema
configs/rich_action/respiratory_peep_fio2_observed_k25.json,7cf3ae7107e7217072bb9f91263e1307d1a1e532751cd1e53ecb4693c6c08ead,2328,contract_or_schema
configs/rich_action/sepsis_original25_reference.json,1c0e8da0798ca10293793cec41693eb19bcfa32f0a735b3f11afde6e447c2b85,2380,contract_or_schema
configs/rich_action/shock_fluid_vasopressor_k25.json,83a092273003da4dfbcddbe65df49fcded66e74bdff08a21735d1425e495417e,2399,contract_or_schema
configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,7f7e9c6c4cb5b272aa1e4378a96cc17672e139c36f5f27d2fa566add97a77a72,1897,contract_or_schema
configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,67fb676c5de7b9a6cf63c1cf17e7d384d1599ed3c93bb40926cda74a0bf65fbb,1812,contract_or_schema
configs/tasks/kdd2027_ami_hemodynamic_compact_3bin.json,9b709301a47f30ee320c7dfefa2dce8fde9d8290eade4d0408f465352388ac00,1836,contract_or_schema
configs/tasks/kdd2027_hf_diuretic_binary.json,2d1c898d4c35e151ac80c43d120b9dbd59652e755c39febdf29cfad42084c4f2,1792,contract_or_schema
configs/tasks/kdd2027_respiratory_peep_5bin.json,647b514052e8d979a439884395c6ae08de13f25af1d0d87805c731c715d8e7bd,1793,contract_or_schema
configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,f4eb0b17f964dac0f3e25e44cd75530fb33599f2c9c704bbc968bfada8aaf4cc,1758,contract_or_schema
configs/tasks/kdd2027_shock_fluid_bolus_binary.json,036c4add1d338695c07db4b2d28e9c571a9c1759acaa10ec47f595e5e64e6f5b,1771,contract_or_schema
contracts/gate_contracts.json,7f694714c96a81b59370676aa760c769b970919cbd43ae2ded95b8e350a2d935,736,contract_or_schema
contracts/kdd187_parity_contract.json,cf7769b75bfa5412110dce1a0dfdc36689cded9de89f92660d8a4eb96b189997,658,contract_or_schema
contracts/preprocessing_contract.json,335c6c186107eea9d706ade9c8bd7f25e2211923f242f9c2292aa4a9e17d30aa,1089,contract_or_schema
dictionaries/actions.csv,76b19d52b42483fdcbd29c914e4edd0f391c013ccfdeea5d26b67bcb9662c8e0,3603,contract_or_schema
dictionaries/baseline_fidelity.csv,de3a019939c08d0318a6ba72cc3c5b097ecbbf835cd71cefadf70a8318ecfb3f,1066,contract_or_schema
dictionaries/features.csv,8d07dc6e212ccfe66891f45428b71f813410c6551fc11bab9301e6145d9423c7,4512,contract_or_schema
dictionaries/metric_availability.csv,a3ead0472c53caf4a1efe6a308646a51ca2c76c7976ba6c3925529f0cfee5b27,5543,contract_or_schema
dictionaries/rewards.csv,87b0d92c00e3f3a5d16d3a543df1c95726ee6e319277d73879a0fe05325f2f5f,7097,contract_or_schema
entrant/FAILURE_SEMANTICS.md,f948a1ba497da192a554075be2925353fcc88a2107dd392a57c47cfaadd023f6,1158,entrant_runtime_or_example
entrant/METHOD_CARDS.md,5e3ac6163d64a4d977967231acb30f494e3d8a1730112b39fd36f4e0ff363d0c,2090,entrant_runtime_or_example
expected/canonical_v2_five_task_manifest.json,e7648c0e8259c98caba72076bcd41d6156ee69b9ac0b80322be3fd99433b3765,1705,synthetic_fixture_or_expected_output
expected/synthetic_aggregate_metrics.json,e6c1f7ce55fb3d7c98796f698b8c589e1f966492c828939adbfa8edfdfbfb152,958,synthetic_fixture_or_expected_output
